A0P0,A0P1,A0P2,A1P0,A1P1,A1P2,A2P0,A2P1,A2P2,acc,f1_0,f1_1,f1_2,f1_all,model,prec_0,prec_1,prec_2,prec_all,rec_0,rec_1,rec_2,rec_all,rnd_ct,sup_0,sup_1,sup_2,sup_all,trtest
15,9,106,2,298,36,0,14,220,0.76142857142857145,0.20408163265306123,0.90715372907153735,0.73825503355704691,0.7201227758075478,NN,0.88235294117647056,0.92834890965732086,0.60773480662983426,0.81263008678454596,0.11538461538461539,0.88690476190476186,0.94017094017094016,0.76142857142857145,10,130,336,234,700,TR
4,13,46,1,107,35,7,29,58,0.56333333333333335,0.10666666666666667,0.73287671232876717,0.4978540772532189,0.52773217708272091,NN,0.33333333333333331,0.71812080536912748,0.41726618705035973,0.54304765583506343,0.063492063492063489,0.74825174825174823,0.61702127659574468,0.56333333333333335,10,63,143,94,300,TE
54,71,9,68,246,25,14,162,51,0.50142857142857145,0.40000000000000002,0.60146699266503667,0.32692307692307693,0.47386978424997983,LM,0.39705882352941174,0.51356993736951984,0.59999999999999998,0.51929441588744052,0.40298507462686567,0.72566371681415931,0.22466960352422907,0.50142857142857145,11,134,339,227,700,TR
26,31,2,30,102,8,11,73,17,0.48333333333333334,0.41269841269841273,0.58959537572254339,0.265625,0.44573561316787474,LM,0.38805970149253732,0.49514563106796117,0.62962962962962965,0.51936167776722286,0.44067796610169491,0.72857142857142854,0.16831683168316833,0.48333333333333334,11,59,140,101,300,TE
26,42,66,10,279,50,18,51,158,0.66142857142857148,0.27659574468085102,0.78481012658227856,0.63073852295409172,0.6375601534417219,GV,0.48148148148148145,0.75,0.57664233576642332,0.64238046962499518,0.19402985074626866,0.82300884955752207,0.69603524229074887,0.66142857142857148,11,134,339,227,700,TR
12,7,40,5,106,29,10,34,57,0.58333333333333337,0.27906976744186046,0.73867595818815335,0.50220264317180618,0.56867405795254555,GV,0.44444444444444442,0.72108843537414968,0.45238095238095238,0.57621693121693118,0.20338983050847459,0.75714285714285712,0.5643564356435643,0.58333333333333337,11,59,140,101,300,TE
15,16,103,0,296,43,4,31,192,0.71857142857142853,0.19607843137254902,0.86803519061583578,0.67964601769911503,0.67831155062912707,NN,0.78947368421052633,0.86297376093294464,0.56804733727810652,0.75326332028944132,0.11194029850746269,0.87315634218289084,0.8458149779735683,0.71857142857142853,11,134,339,227,700,TR
4,11,44,0,100,40,3,34,64,0.56000000000000005,0.12121212121212119,0.70175438596491224,0.51405622489959835,0.52438935967154099,NN,0.5714285714285714,0.68965517241379315,0.43243243243243246,0.57980561842630818,0.067796610169491525,0.7142857142857143,0.63366336633663367,0.56000000000000005,11,59,140,101,300,TE
62,62,9,70,247,19,14,167,50,0.5128571428571429,0.44444444444444442,0.60837438423645318,0.32362459546925565,0.48326026538279626,LM,0.42465753424657532,0.51890756302521013,0.64102564102564108,0.54129902329741164,0.46616541353383456,0.73511904761904767,0.21645021645021645,0.5128571428571429,12,133,336,231,700,TR
18,40,2,28,101,14,11,68,18,0.45666666666666667,0.30769230769230771,0.57386363636363635,0.27480916030534353,0.42393509003718927,LM,0.31578947368421051,0.48325358851674644,0.52941176470588236,0.46468524251805982,0.29999999999999999,0.70629370629370625,0.18556701030927836,0.45666666666666667,12,60,143,97,300,TE
