A0P0,A0P1,A0P2,A1P0,A1P1,A1P2,A2P0,A2P1,A2P2,acc,f1_0,f1_1,f1_2,f1_all,model,prec_0,prec_1,prec_2,prec_all,rec_0,rec_1,rec_2,rec_all,rnd_ct,sup_0,sup_1,sup_2,sup_all,trtest
17,8,37,5,102,33,21,26,51,0.56666666666666665,0.32380952380952377,0.73913043478260854,0.46575342465753428,0.56399428987398015,NN,0.39534883720930231,0.75,0.42148760330578511,0.56939137676981222,0.27419354838709675,0.72857142857142854,0.52040816326530615,0.56666666666666665,25,62,140,98,300,TE
51,73,9,64,256,21,17,162,47,0.50571428571428567,0.38490566037735846,0.61538461538461531,0.31023102310231027,0.4730725969963781,LM,0.38636363636363635,0.52138492871690423,0.61038961038961037,0.52446668039554278,0.38345864661654133,0.75073313782991202,0.20796460176991149,0.50571428571428567,26,133,341,226,700,TR
29,29,2,34,92,12,8,73,21,0.47333333333333333,0.44274809160305345,0.55421686746987953,0.30656934306569339,0.44772295399909107,LM,0.40845070422535212,0.47422680412371132,0.59999999999999998,0.50383447074197762,0.48333333333333334,0.66666666666666663,0.20588235294117646,0.47333333333333333,26,60,138,102,300,TE
42,40,51,10,282,49,21,65,140,0.66285714285714281,0.40776699029126212,0.77472527472527475,0.60085836909871237,0.64886902829480797,GV,0.57534246575342463,0.72868217054263562,0.58333333333333337,0.65262071633368224,0.31578947368421051,0.82697947214076251,0.61946902654867253,0.66285714285714281,26,133,341,226,700,TR
14,13,33,11,104,23,14,31,57,0.58333333333333337,0.28282828282828287,0.72727272727272729,0.53023255813953496,0.57139018087855298,GV,0.35897435897435898,0.70270270270270274,0.50442477876106195,0.56654253981687608,0.23333333333333334,0.75362318840579712,0.55882352941176472,0.58333333333333337,26,60,138,102,300,TE
65,17,51,3,300,38,32,30,164,0.75571428571428567,0.55793991416309019,0.87209302325581384,0.68475991649269308,0.75192210091610312,NN,0.65000000000000002,0.86455331412103742,0.64822134387351782,0.75394386261526958,0.48872180451127817,0.87976539589442815,0.72566371681415931,0.75571428571428567,26,133,341,226,700,TR
20,13,27,6,100,32,23,25,54,0.57999999999999996,0.36697247706422015,0.72463768115942029,0.50232558139534889,0.57751852642059598,NN,0.40816326530612246,0.72463768115942029,0.47787610619469029,0.57744386250075252,0.33333333333333331,0.72463768115942029,0.52941176470588236,0.57999999999999996,26,60,138,102,300,TE
50,73,10,63,246,22,19,167,50,0.49428571428571427,0.37735849056603771,0.60220318237454107,0.31446540880503143,0.46247395584177647,LM,0.37878787878787878,0.50617283950617287,0.6097560975609756,0.51689205254245907,0.37593984962406013,0.74320241691842903,0.21186440677966101,0.49428571428571427,27,133,331,236,700,TR
30,29,1,35,102,11,6,68,18,0.5,0.4580152671755725,0.58789625360230535,0.29508196721311475,0.472123675157607,LM,0.42253521126760563,0.51256281407035176,0.59999999999999998,0.52137136386156124,0.5,0.68918918918918914,0.19565217391304349,0.5,27,60,148,92,300,TE
28,32,73,3,273,55,13,63,160,0.65857142857142859,0.31638418079096042,0.78111587982832631,0.61068702290076338,0.63535798524707698,GV,0.63636363636363635,0.74184782608695654,0.55555555555555558,0.65899872168893903,0.21052631578947367,0.82477341389728098,0.67796610169491522,0.65857142857142859,27,133,331,236,700,TR
10,15,35,7,113,28,9,27,56,0.59666666666666668,0.23255813953488369,0.7458745874587458,0.5308056872037914,0.57725683512912074,GV,0.38461538461538464,0.7290322580645161,0.47058823529411764,0.58089271639176765,0.16666666666666666,0.76351351351351349,0.60869565217391308,0.59666666666666668,27,60,148,92,300,TE
14,6,113,0,301,30,0,25,211,0.75142857142857145,0.19047619047619049,0.90799396681749633,0.71525423728813564,0.70668476621417797,NN,1.0,0.90662650602409633,0.596045197740113,0.8196572002294894,0.10526315789473684,0.90936555891238668,0.89406779661016944,0.75142857142857145,27,133,331,236,700,TR
5,14,41,0,104,44,2,32,58,0.55666666666666664,0.14925373134328357,0.69798657718120816,0.49361702127659579,0.52556667753620878,NN,0.7142857142857143,0.69333333333333336,0.40559440559440557,0.60928387168387166,0.083333333333333329,0.70270270270270274,0.63043478260869568,0.55666666666666664,27,60,148,92,300,TE
58,79,8,70,231,25,22,162,45,0.47714285714285715,0.39322033898305087,0.57894736842105265,0.29315960912052114,0.44698191678057841,LM,0.38666666666666666,0.48940677966101692,0.57692307692307687,0.49675523064506111,0.40000000000000002,0.70858895705521474,0.1965065502183406,0.47714285714285715,28,145,326,229,700,TR
22,23,3,28,117,8,3,73,23,0.54000000000000004,0.43564356435643564,0.6393442622950819,0.34586466165413537,0.50990388241338613,LM,0.41509433962264153,0.54929577464788737,0.67647058823529416,0.56979123352769234,0.45833333333333331,0.76470588235294112,0.23232323232323232,0.54000000000000004,28,48,153,99,300,TE
59,31,55,15,265,46,34,61,134,0.65428571428571425,0.46640316205533594,0.77598828696925326,0.57758620689655182,0.64695411632758659,GV,0.54629629629629628,0.74229691876750703,0.57021276595744685,0.64540068840775089,0.40689655172413791,0.81288343558282206,0.58515283842794763,0.65428571428571425,28,145,326,229,700,TR
15,15,18,9,118,26,13,35,51,0.61333333333333329,0.3529411764705882,0.73520249221183798,0.52577319587628879,0.60492901390250686,GV,0.40540540540540543,0.70238095238095233,0.5368421052631579,0.60023704531599265,0.3125,0.77124183006535951,0.51515151515151514,0.61333333333333329,28,48,153,99,300,TE
18,5,122,0,297,29,1,19,209,0.74857142857142855,0.21951219512195125,0.91808346213292125,0.70967741935483875,0.70520086568610474,NN,0.94736842105263153,0.92523364485981308,0.5805555555555556,0.81705973071307558,0.12413793103448276,0.91104294478527603,0.9126637554585153,0.74857142857142855,28,145,326,229,700,TR
1,12,35,0,111,42,4,21,74,0.62,0.037735849056603772,0.74747474747474751,0.59200000000000008,0.58260985706117796,NN,0.20000000000000001,0.77083333333333337,0.49006622516556292,0.58684685430463579,0.020833333333333332,0.72549019607843135,0.74747474747474751,0.62,28,48,153,99,300,TE
57,75,6,68,244,20,16,169,45,0.49428571428571427,0.40860215053763438,0.59512195121951217,0.29900332225913623,0.46105478385524701,LM,0.40425531914893614,0.5,0.63380281690140849,0.52508840275696733,0.41304347826086957,0.73493975903614461,0.19565217391304349,0.49428571428571427,29,138,332,230,700,TR
23,27,5,30,104,13,9,66,23,0.5,0.39316239316239315,0.60465116279069764,0.33093525179856115,0.47646435743474391,LM,0.37096774193548387,0.52791878172588835,0.56097560975609762,0.50994298825418261,0.41818181818181815,0.70748299319727892,0.23469387755102042,0.5,29,55,147,98,300,TE
54,40,44,9,280,43,32,72,126,0.65714285714285714,0.46351931330472107,0.77348066298342555,0.56884875846501115,0.64513779970500196,GV,0.56842105263157894,0.7142857142857143,0.59154929577464788,0.64520185776312011,0.39130434782608697,0.84337349397590367,0.54782608695652169,0.65714285714285714,29,138,332,230,700,TR
15,19,21,10,116,21,18,30,50,0.60333333333333339,0.30612244897959184,0.7435897435897435,0.52631578947368418,0.59241124789996968,GV,0.34883720930232559,0.70303030303030301,0.54347826086956519,0.58597456874099951,0.27272727272727271,0.78911564625850339,0.51020408163265307,0.60333333333333339,29,55,147,98,300,TE
44,8,86,0,319,13,18,32,180,0.77571428571428569,0.44000000000000006,0.92329956584659911,0.70726915520628686,0.75703908794073838,NN,0.70967741935483875,0.88857938718662954,0.64516129032258063,0.77332991027303188,0.3188405797101449,0.96084337349397586,0.78260869565217395,0.77571428571428569,29,138,332,230,700,TR
13,13,29,3,110,34,9,34,55,0.59333333333333338,0.32500000000000001,0.72368421052631571,0.5092592592592593,0.58054662118258615,NN,0.52000000000000002,0.70063694267515919,0.46610169491525422,0.59090532224981107,0.23636363636363636,0.74829931972789121,0.56122448979591832,0.59333333333333338,29,55,147,98,300,TE
54,77,7,71,244,21,17,165,44,0.48857142857142855,0.38571428571428568,0.5936739659367396,0.29530201342281881,0.45634468430981856,LM,0.38028169014084506,0.50205761316872433,0.61111111111111116,0.51325906053605586,0.39130434782608697,0.72619047619047616,0.19469026548672566,0.48857142857142855,30,138,336,226,700,TR
26,25,4,27,104,12,8,70,24,0.51333333333333331,0.44827586206896547,0.60818713450292405,0.33802816901408456,0.48701601962382618,LM,0.42622950819672129,0.52261306532663321,0.59999999999999998,0.53125430430842735,0.47272727272727272,0.72727272727272729,0.23529411764705882,0.51333333333333331,30,55,143,102,300,TE
50,40,48,8,280,48,35,65,126,0.65142857142857147,0.43290043290043284,0.77669902912621369,0.5625,0.63976590503809649,GV,0.5376344086021505,0.72727272727272729,0.56756756756756754,0.63832493574429061,0.36231884057971014,0.83333333333333337,0.55752212389380529,0.65142857142857147,30,138,336,226,700,TR
20,23,12,4,117,22,16,39,47,0.61333333333333329,0.4210526315789474,0.72670807453416153,0.51366120218579236,0.59823530672726011,GV,0.5,0.65363128491620115,0.58024691358024694,0.60051486309400659,0.36363636363636365,0.81818181818181823,0.46078431372549017,0.61333333333333329,30,55,143,102,300,TE
83,6,49,7,304,25,54,21,151,0.76857142857142857,0.58865248226950351,0.91154422788605693,0.66962305986696224,0.76978244950405728,NN,0.57638888888888884,0.91842900302114805,0.6711111111111111,0.77114988970411935,0.60144927536231885,0.90476190476190477,0.66814159292035402,0.76857142857142857,30,138,336,226,700,TR
22,12,21,3,116,24,19,32,51,0.63,0.44444444444444448,0.76567656765676562,0.51515151515151514,0.62160549388272157,NN,0.5,0.72499999999999998,0.53125,0.61787500000000006,0.40000000000000002,0.81118881118881114,0.5,0.63,30,55,143,102,300,TE
53,73,7,72,235,26,12,171,51,0.48428571428571426,0.3925925925925926,0.5788177339901478,0.32075471698113212,0.45716817715302704,LM,0.38686131386861317,0.49060542797494783,0.6071428571428571,0.50985084404515957,0.39849624060150374,0.70570570570570568,0.21794871794871795,0.48428571428571426,31,133,333,234,700,TR
27,29,4,26,113,7,13,64,17,0.52333333333333332,0.4285714285714286,0.64204545454545447,0.27868852459016397,0.48549881129799161,LM,0.40909090909090912,0.54854368932038833,0.6071428571428571,0.53901420585886606,0.45000000000000001,0.77397260273972601,0.18085106382978725,0.52333333333333332,31,60,146,94,300,TE
53,30,50,8,291,34,30,72,132,0.68000000000000005,0.47321428571428575,0.80165289256198347,0.58666666666666667,0.66738273317591501,GV,0.58241758241758246,0.74045801526717558,0.61111111111111116,0.66719151077929706,0.39849624060150374,0.87387387387387383,0.5641025641025641,0.68000000000000005,31,133,333,234,700,TR
15,24,21,9,112,25,18,31,45,0.57333333333333336,0.29411764705882348,0.71565495207667729,0.48648648648648651,0.55954137185484676,GV,0.35714285714285715,0.6706586826347305,0.49450549450549453,0.55276085192252855,0.25,0.76712328767123283,0.47872340425531917,0.57333333333333336,31,60,146,94,300,TE
44,3,86,1,312,20,32,23,179,0.76428571428571423,0.419047619047619,0.92995529061102833,0.68978805394990361,0.75259835675869036,NN,0.5714285714285714,0.92307692307692313,0.62807017543859645,0.75764719491035282,0.33082706766917291,0.93693693693693691,0.7649572649572649,0.76428571428571423,31,133,333,234,700,TR
13,19,28,6,106,34,16,21,57,0.58666666666666667,0.27368421052631581,0.72602739726027399,0.53521126760563376,0.57576970595502841,NN,0.37142857142857144,0.72602739726027399,0.47899159663865548,0.57770308123249303,0.21666666666666667,0.72602739726027399,0.6063829787234043,0.58666666666666667,31,60,146,94,300,TE
53,72,7,63,238,26,17,177,47,0.48285714285714287,0.40000000000000002,0.58476658476658483,0.29283489096573212,0.44941697420202104,LM,0.39849624060150374,0.48870636550308011,0.58750000000000002,0.50570855039843665,0.40151515151515149,0.72782874617737003,0.19502074688796681,0.48285714285714287,32,132,327,241,700,TR
27,30,4,35,110,7,8,58,21,0.52666666666666662,0.41221374045801529,0.62857142857142867,0.35294117647058826,0.50464592554579091,LM,0.38571428571428573,0.55555555555555558,0.65625,0.55022255291005284,0.44262295081967212,0.72368421052631582,0.2413793103448276,0.52666666666666662,32,61,152,87,300,TE
45,29,58,11,259,57,26,67,148,0.64571428571428569,0.42056074766355139,0.7595307917888563,0.58730158730158744,0.63631467163746769,GV,0.54878048780487809,0.72957746478873242,0.56273764258555137,0.63804375319896756,0.34090909090909088,0.79204892966360851,0.61410788381742742,0.64571428571428569,32,132,327,241,700,TR
17,18,26,7,123,22,17,16,54,0.64666666666666661,0.33333333333333326,0.79611650485436902,0.57142857142857151,0.63685775928494381,GV,0.41463414634146339,0.78343949044585992,0.52941176470588236,0.63478103001337249,0.27868852459016391,0.80921052631578949,0.62068965517241381,0.64666666666666661,32,61,152,87,300,TE
17,8,107,0,286,41,8,24,209,0.73142857142857143,0.21656050955414013,0.88682170542635663,0.69899665551839474,0.69576411273642613,NN,0.68000000000000005,0.89937106918238996,0.58543417366946782,0.74991996496711899,0.12878787878787878,0.87461773700305812,0.86721991701244816,0.73142857142857143,32,132,327,241,700,TR
2,11,48,1,109,42,4,13,70,0.60333333333333339,0.058823529411764712,0.76491228070175432,0.5668016194331984,0.56388880950490861,NN,0.2857142857142857,0.81954887218045114,0.4375,0.60020833333333334,0.032786885245901641,0.71710526315789469,0.8045977011494253,0.60333333333333339,32,61,152,87,300,TE
59,78,6,68,244,29,14,163,39,0.48857142857142855,0.41549295774647887,0.59079903147699764,0.26896551724137929,0.4556778777364866,LM,0.41843971631205673,0.50309278350515463,0.52702702702702697,0.49318479492245665,0.41258741258741261,0.71554252199413493,0.18055555555555555,0.48857142857142855,33,143,341,216,700,TR
21,24,5,30,104,4,11,72,29,0.51333333333333331,0.375,0.61538461538461542,0.38666666666666666,0.48993247863247869,LM,0.33870967741935482,0.52000000000000002,0.76315789473684215,0.58056389360498017,0.41999999999999998,0.75362318840579712,0.25892857142857145,0.51333333333333331,33,50,138,112,300,TE
48,41,54,13,285,43,24,54,138,0.67285714285714282,0.4210526315789474,0.79056865464632442,0.61197339246119731,0.65997241474543533,GV,0.56470588235294117,0.75,0.58723404255319145,0.6619221348113713,0.33566433566433568,0.83577712609970678,0.63888888888888884,0.67285714285714282,33,143,341,216,700,TR
10,7,33,7,114,17,17,44,51,0.58333333333333337,0.23809523809523811,0.75247524752475248,0.47887323943661975,0.56460049626693054,GV,0.29411764705882354,0.69090909090909092,0.50495049504950495,0.55535264114646754,0.20000000000000001,0.82608695652173914,0.45535714285714285,0.58333333333333337,33,50,138,112,300,TE
14,32,97,3,316,22,6,63,147,0.68142857142857138,0.16867469879518074,0.84042553191489344,0.60995850622406644,0.63208089379298271,NN,0.60869565217391308,0.76885644768856443,0.55263157894736847,0.66941706853614524,0.097902097902097904,0.92668621700879761,0.68055555555555558,0.68142857142857138,33,143,341,216,700,TR
6,13,31,3,120,15,10,48,54,0.59999999999999998,0.17391304347826086,0.75235109717868331,0.50943396226415094,0.56525569119385422,NN,0.31578947368421051,0.66298342541436461,0.54000000000000004,0.55920395463797612,0.12,0.86956521739130432,0.48214285714285715,0.59999999999999998,33,50,138,112,300,TE
54,68,7,69,242,25,20,165,50,0.49428571428571427,0.3970588235294118,0.59679408138101098,0.31545741324921139,0.46553698813268357,LM,0.3776223776223776,0.5094736842105263,0.6097560975609756,0.51884161076407542,0.41860465116279072,0.72023809523809523,0.21276595744680851,0.49428571428571427,34,129,336,235,700,TR
26,34,4,29,106,8,5,70,18,0.5,0.41935483870967744,0.60056657223796039,0.29268292682926828,0.46646413900856543,LM,0.43333333333333335,0.50476190476190474,0.59999999999999998,0.51904761904761909,0.40625,0.74125874125874125,0.19354838709677419,0.5,34,64,143,93,300,TE
40,37,52,13,272,51,30,60,145,0.6528571428571428,0.37735849056603771,0.77163120567375887,0.60041407867494834,0.64149234125430665,GV,0.48192771084337349,0.73712737127371275,0.58467741935483875,0.63891809285021395,0.31007751937984496,0.80952380952380953,0.61702127659574468,0.6528571428571428,34,129,336,235,700,TR
21,17,26,3,118,22,16,31,46,0.6166666666666667,0.40384615384615385,0.76375404530744329,0.49197860962566847,0.60272331006768465,GV,0.52500000000000002,0.71084337349397586,0.48936170212765956,0.60253746902503635,0.328125,0.82517482517482521,0.4946236559139785,0.6166666666666667,34,64,143,93,300,TE
32,10,87,1,305,30,5,41,189,0.75142857142857145,0.3832335329341317,0.88150289017341044,0.69870609981515719,0.72831147186190115,NN,0.84210526315789469,0.8567415730337079,0.61764705882352944,0.77377686615746244,0.24806201550387597,0.90773809523809523,0.80425531914893622,0.75142857142857145,34,129,336,235,700,TR
3,17,44,2,114,27,5,23,65,0.60666666666666669,0.081081081081081072,0.76767676767676762,0.56768558951965065,0.55920575597431488,NN,0.29999999999999999,0.74025974025974028,0.47794117647058826,0.5650189075630252,0.046875,0.79720279720279719,0.69892473118279574,0.60666666666666669,34,64,143,93,300,TE
59,71,4,70,259,20,16,155,46,0.52000000000000002,0.42293906810035836,0.62110311750599512,0.32055749128919858,0.4899997124925663,LM,0.40689655172413791,0.53402061855670102,0.65714285714285714,0.54785333401046155,0.44029850746268656,0.74212034383954151,0.2119815668202765,0.52000000000000002,35,134,349,217,700,TR
21,31,7,28,89,13,9,80,22,0.44,0.35897435897435898,0.53939393939393943,0.28758169934640526,0.41074089309383427,LM,0.36206896551724138,0.44500000000000001,0.52380952380952384,0.45784975369458131,0.3559322033898305,0.68461538461538463,0.1981981981981982,0.44,35,59,130,111,300,TE
43,38,53,8,293,48,24,61,132,0.66857142857142859,0.41148325358851673,0.79082321187584348,0.58666666666666678,0.65491817656028173,GV,0.57333333333333336,0.74744897959183676,0.5665236051502146,0.65803140408830607,0.32089552238805968,0.83954154727793695,0.60829493087557607,0.66857142857142859,35,134,349,217,700,TR
16,16,27,8,106,16,20,41,50,0.57333333333333336,0.31067961165048541,0.7235494880546075,0.49019607843137253,0.5560109841345332,GV,0.36363636363636365,0.65030674846625769,0.5376344086021505,0.55223947369999227,0.2711864406779661,0.81538461538461537,0.45045045045045046,0.57333333333333336,35,59,130,111,300,TE
102,10,22,8,321,20,102,28,87,0.72857142857142854,0.58959537572254339,0.90677966101694929,0.50289017341040465,0.72085578524541993,NN,0.48113207547169812,0.89415041782729809,0.67441860465116277,0.74697004449176707,0.76119402985074625,0.91977077363896853,0.4009216589861751,0.72857142857142854,35,134,349,217,700,TR
34,12,13,16,101,13,53,25,33,0.56000000000000005,0.41975308641975312,0.75373134328358204,0.38823529411764707,0.55281541457563299,NN,0.3300970873786408,0.73188405797101452,0.55932203389830504,0.58901800484761191,0.57627118644067798,0.77692307692307694,0.29729729729729731,0.56000000000000005,35,59,130,111,300,TE
56,65,8,71,238,27,16,170,49,0.48999999999999999,0.41176470588235298,0.58838071693448712,0.30721003134796238,0.46143989330797486,LM,0.39160839160839161,0.5031712473572939,0.58333333333333337,0.50952336423266664,0.43410852713178294,0.70833333333333337,0.20851063829787234,0.48999999999999999,36,129,336,235,700,TR
24,37,3,27,110,6,9,65,19,0.51000000000000001,0.38709677419354843,0.61971830985915488,0.31404958677685951,0.47533507809498066,LM,0.40000000000000002,0.51886792452830188,0.6785714285714286,0.54301752021563343,0.375,0.76923076923076927,0.20430107526881722,0.51000000000000001,36,64,143,93,300,TE
36,28,65,12,271,53,24,50,161,0.66857142857142859,0.35820895522388058,0.79124087591240877,0.62645914396887159,0.65611969766162115,GV,0.5,0.77650429799426934,0.57706093189964158,0.65859251874641467,0.27906976744186046,0.80654761904761907,0.68510638297872339,0.66857142857142859,36,129,336,235,700,TR
14,17,33,4,108,31,15,22,56,0.59333333333333338,0.28865979381443296,0.74482758620689649,0.5258215962441315,0.57961993360804709,GV,0.42424242424242425,0.73469387755102045,0.46666666666666667,0.58537579880437018,0.21875,0.75524475524475521,0.60215053763440862,0.59333333333333338,36,64,143,93,300,TE
23,19,87,1,321,14,8,36,191,0.76428571428571423,0.28571428571428575,0.901685393258427,0.72485768500948766,0.72880712995600561,NN,0.71875,0.85372340425531912,0.65410958904109584,0.7618365246492067,0.17829457364341086,0.9553571428571429,0.81276595744680846,0.76428571428571423,36,129,336,235,700,TR
2,22,40,1,118,24,7,32,54,0.57999999999999996,0.054054054054054057,0.7492063492063491,0.51184834123222744,0.5273262104352151,NN,0.20000000000000001,0.68604651162790697,0.4576271186440678,0.51154657732229669,0.03125,0.82517482517482521,0.58064516129032262,0.57999999999999996,36,64,143,93,300,TE
60,70,7,66,248,24,13,162,50,0.51142857142857145,0.43478260869565216,0.60635696821515883,0.32679738562091498,0.48291897773247699,LM,0.43165467625899279,0.51666666666666672,0.61728395061728392,0.53236987552814896,0.43795620437956206,0.73372781065088755,0.22222222222222221,0.51142857142857145,37,137,338,225,700,TR
20,32,4,32,100,9,12,73,18,0.46000000000000002,0.33333333333333331,0.57803468208092479,0.26865671641791045,0.42613732877040617,LM,0.3125,0.48780487804878048,0.58064516129032262,0.48695646472593762,0.35714285714285715,0.70921985815602839,0.17475728155339806,0.46000000000000002,37,56,141,103,300,TE
52,30,55,10,281,47,24,54,147,0.68571428571428572,0.46636771300448432,0.79943100995732574,0.620253164556962,0.67665288581786687,GV,0.60465116279069764,0.76986301369863008,0.59036144578313254,0.67983176176238191,0.37956204379562042,0.83136094674556216,0.65333333333333332,0.68571428571428572,37,137,338,225,700,TR
13,18,25,9,106,26,10,33,60,0.59666666666666668,0.29545454545454541,0.71140939597315445,0.56074766355140182,0.58203729574487906,GV,0.40625,0.67515923566878977,0.54054054054054057,0.57874375968325009,0.23214285714285715,0.75177304964539005,0.58252427184466016,0.59666666666666668,37,56,141,103,300,TE
15,10,112,0,310,28,7,24,194,0.74142857142857144,0.18867924528301888,0.90909090909090917,0.69409660107334525,0.69899074159714802,NN,0.68181818181818177,0.90116279069767447,0.58083832335329344,0.75527248131342273,0.10948905109489052,0.91715976331360949,0.86222222222222222,0.74142857142857144,37,137,338,225,700,TR
3,11,42,0,106,35,6,26,71,0.59999999999999998,0.092307692307692313,0.74647887323943651,0.56573705179282874,0.5623122274355089,NN,0.33333333333333331,0.74125874125874125,0.47972972972972971,0.57532103782103783,0.053571428571428568,0.75177304964539005,0.68932038834951459,0.59999999999999998,37,56,141,103,300,TE
52,69,9,72,253,23,15,157,50,0.50714285714285712,0.38661710037174724,0.6118500604594922,0.3289473684210526,0.48030051411100594,LM,0.37410071942446044,0.52818371607515657,0.6097560975609756,0.52543840053981561,0.40000000000000002,0.72701149425287359,0.22522522522522523,0.50714285714285712,38,130,348,222,700,TR
28,33,2,26,95,10,10,78,18,0.46999999999999997,0.44094488188976372,0.56379821958456977,0.26470588235294118,0.43231972618015174,LM,0.4375,0.46116504854368934,0.59999999999999998,0.50525040453074432,0.44444444444444442,0.72519083969465647,0.16981132075471697,0.46999999999999997,38,63,131,106,300,TE
50,35,45,11,287,50,31,66,125,0.66000000000000003,0.45045045045045046,0.77989130434782605,0.56561085972850689,0.65075191904475782,GV,0.54347826086956519,0.73969072164948457,0.56818181818181823,0.64885844097632539,0.38461538461538464,0.82471264367816088,0.56306306306306309,0.66000000000000003,38,130,348,222,700,TR
23,19,21,6,105,20,29,19,58,0.62,0.38016528925619836,0.76642335766423353,0.56585365853658542,0.6144412029401104,GV,0.39655172413793105,0.73426573426573427,0.58585858585858586,0.61090859970170319,0.36507936507936506,0.80152671755725191,0.54716981132075471,0.62,38,63,131,106,300,TE
66,12,52,5,306,37,39,26,157,0.75571428571428567,0.54999999999999993,0.88439306358381509,0.67094017094017089,0.75459643439412227,NN,0.59999999999999998,0.88953488372093026,0.63821138211382111,0.7560586662345028,0.50769230769230766,0.87931034482758619,0.7072072072072072,0.75571428571428567,38,130,348,222,700,TR
15,15,33,12,94,25,31,23,52,0.53666666666666663,0.24793388429752067,0.71482889733840316,0.48148148148148145,0.53433152433037212,NN,0.25862068965517243,0.71212121212121215,0.47272727272727272,0.5323002438174852,0.23809523809523808,0.71755725190839692,0.49056603773584906,0.53666666666666663,38,63,131,106,300,TE
52,68,8,74,252,20,19,159,48,0.50285714285714289,0.38095238095238088,0.61090909090909085,0.31788079470198677,0.47425358545585594,LM,0.35862068965517241,0.52609603340292277,0.63157894736842102,0.52952788276933782,0.40625,0.72832369942196529,0.21238938053097345,0.50285714285714289,39,128,346,226,700,TR
28,34,3,24,96,13,6,76,20,0.47999999999999998,0.45528455284552843,0.5663716814159292,0.28985507246376813,0.44828715651527434,LM,0.48275862068965519,0.46601941747572817,0.55555555555555558,0.50008853178588708,0.43076923076923079,0.72180451127819545,0.19607843137254902,0.47999999999999998,39,65,133,102,300,TE
50,35,43,10,288,48,31,66,129,0.66714285714285715,0.45662100456621008,0.78367346938775506,0.57847533632286996,0.6576199071451525,GV,0.5494505494505495,0.74035989717223649,0.58636363636363631,0.65573196652777999,0.390625,0.83236994219653182,0.57079646017699115,0.66714285714285715,39,128,346,226,700,TR
18,12,35,8,97,28,18,30,54,0.56333333333333335,0.33027522935779824,0.71323529411764708,0.49315068493150688,0.5554318462963922,GV,0.40909090909090912,0.69784172661870503,0.46153846153846156,0.55493593936039987,0.27692307692307694,0.72932330827067671,0.52941176470588236,0.56333333333333335,39,65,133,102,300,TE
7,12,109,0,331,15,0,33,193,0.75857142857142856,0.1037037037037037,0.91689750692520777,0.71086556169429105,0.70168032630443677,NN,1.0,0.88031914893617025,0.60883280757097791,0.81455234291850842,0.0546875,0.95664739884393069,0.85398230088495575,0.75857142857142856,39,128,346,226,700,TR
0,13,52,1,109,23,0,35,67,0.58666666666666667,0.0,0.75172413793103443,0.54918032786885251,0.51998567929150175,NN,0.0,0.69426751592356684,0.47183098591549294,0.46821446727071558,0.0,0.81954887218045114,0.65686274509803921,0.58666666666666667,39,65,133,102,300,TE
57,71,8,73,236,25,19,166,45,0.48285714285714287,0.39999999999999997,0.58488228004956633,0.29220779220779219,0.45279781963478194,LM,0.3825503355704698,0.4989429175475687,0.57692307692307687,0.50195155398682789,0.41911764705882354,0.70658682634730541,0.19565217391304349,0.48285714285714287,40,136,334,230,700,TR
23,31,3,25,112,8,6,69,23,0.52666666666666662,0.4144144144144144,0.62745098039215674,0.34848484848484851,0.49584509643333169,LM,0.42592592592592593,0.52830188679245282,0.67647058823529416,0.55725223003247415,0.40350877192982454,0.77241379310344827,0.23469387755102042,0.52666666666666662,40,57,145,98,300,TE
52,24,60,11,263,60,24,46,160,0.6785714285714286,0.46636771300448426,0.78860569715142426,0.62745098039215685,0.67304862472483085,GV,0.5977011494252874,0.78978978978978975,0.5714285714285714,0.68072245362885753,0.38235294117647056,0.78742514970059885,0.69565217391304346,0.6785714285714286,40,136,334,230,700,TR
9,17,31,8,102,35,11,32,55,0.55333333333333334,0.21176470588235294,0.68918918918918926,0.50228310502283102,0.53742254986654658,GV,0.32142857142857145,0.67549668874172186,0.45454545454545453,0.53604634328144263,0.15789473684210525,0.70344827586206893,0.56122448979591832,0.55333333333333334,40,57,145,98,300,TE
2,8,126,0,302,32,2,25,203,0.72428571428571431,0.028571428571428574,0.90284005979073256,0.68697123519458547,0.66205382621510522,NN,0.5,0.90149253731343282,0.56232686980609414,0.71204812502584025,0.014705882352941176,0.90419161676646709,0.88260869565217392,0.72428571428571431,40,136,334,230,700,TR
1,10,46,1,111,33,0,24,74,0.62,0.033898305084745756,0.76551724137931032,0.58964143426294824,0.56905687982533137,NN,0.5,0.76551724137931032,0.48366013071895425,0.62299564270152508,0.017543859649122806,0.76551724137931032,0.75510204081632648,0.62,40,57,145,98,300,TE
51,73,9,66,242,24,21,173,41,0.47714285714285715,0.37638376383763839,0.59024390243902436,0.2653721682847896,0.44054639392441075,LM,0.36956521739130432,0.49590163934426229,0.55405405405405406,0.49142031554005888,0.38345864661654133,0.72891566265060237,0.17446808510638298,0.47714285714285715,41,133,332,235,700,TR
29,29,2,32,106,9,4,62,27,0.54000000000000004,0.46400000000000002,0.61627906976744184,0.41221374045801529,0.52256300372803122,LM,0.44615384615384618,0.53807106598984766,0.71052631578947367,0.5731487494605314,0.48333333333333334,0.72108843537414968,0.29032258064516131,0.54000000000000004,41,60,147,93,300,TE
